"Date","AQS_SITE_ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/09/2018","060370002","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/10/2018","060370002","1","0.5","ppm","6","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/11/2018","060370002","1","0.6","ppm","7","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/12/2018","060370002","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/13/2018","060370002","1","0.4","ppm","5","13","54.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/14/2018","060370002","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/15/2018","060370002","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/16/2018","060370002","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/17/2018","060370002","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/18/2018","060370002","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
