Start Hub,Start Latitude,Start Longitude,Start Date,Start Time,End Hub,End Latitude,End Longitude,End Date,End Time,Bike Name,Distance [Miles],Duration
NONE,33.7595683333333,-84.364535,2018-06-09 00:00:00,2018-06-09 20:27:00,NONE,33.7620333333333,-84.3723166666667,2018-06-20 00:00:00,2018-06-20 12:40:00,2635,5.08,10 days 16:12:09.000000000
NONE,33.7652016666667,-84.3608816666667,2018-06-10 00:00:00,2018-06-10 01:10:00,NONE,33.781736666666696,-84.3683483333333,2018-06-16 00:00:00,2018-06-16 11:14:00,2681,2.47,6 days 10:04:11.000000000
CENTRAL PARK,33.7684033333333,-84.3777133333333,2018-06-19 00:00:00,2018-06-19 18:30:00,NONE,33.776545,-84.4077283333333,2018-06-27 00:00:00,2018-06-27 10:33:00,1026,2.32,7 days 16:02:43.000000000
GEORGIA TECH - TRANSIT HUB,33.772691666666695,-84.3972933333333,2018-06-18 00:00:00,2018-06-18 10:27:00,NONE,33.7735266666667,-84.3990783333333,2018-06-21 00:00:00,2018-06-21 09:28:00,2640,1.01,2 days 23:00:41.000000000
GEORGIA TECH - TRANSIT HUB,33.772715000000005,-84.39724333333331,2018-06-07 00:00:00,2018-06-07 17:54:00,GEORGIA TECH - TRANSIT HUB,33.7726883333333,-84.39724,2018-06-11 00:00:00,2018-06-11 11:29:00,1314*,2.0,3 days 17:34:49.000000000
TECH PARKWAY,33.7774383333333,-84.40753000000001,2018-06-07 00:00:00,2018-06-07 22:14:00,NONE,33.760845,-84.4167233333333,2018-06-09 00:00:00,2018-06-09 08:43:00,1020,22.59,1 days 10:29:45.000000000
NONE,33.777465,-84.407265,2018-06-09 00:00:00,2018-06-09 01:21:00,NONE,33.737355,-84.4089616666667,2018-06-13 00:00:00,2018-06-13 12:32:00,2908,5.29,4 days 11:11:46.000000000
OUTWRIGHT STATION,33.7816866666667,-84.37908,2018-06-16 00:00:00,2018-06-16 14:31:00,NONE,33.784765,-84.3771616666667,2018-06-21 00:00:00,2018-06-21 09:37:00,2999,1.95,4 days 19:06:03.000000000
PIEDMONT PARK & EASTSIDE BELTLINE,33.78224,-84.369845,2018-06-26 00:00:00,2018-06-26 19:03:00,NONE,33.782251666666696,-84.3698516666667,2018-06-29 00:00:00,2018-06-29 10:55:00,2979*,4.51,2 days 15:52:09.000000000
PIEDMONT PARK & EASTSIDE BELTLINE,33.7823,-84.36986999999999,2018-06-02 00:00:00,2018-06-02 11:16:00,NONE,33.7844766666667,-84.3828433333333,2018-06-05 00:00:00,2018-06-05 10:02:00,2981,0.94,2 days 22:45:59.000000000
PIEDMONT PARK & EASTSIDE BELTLINE,33.7823216666667,-84.36990166666669,2018-06-22 00:00:00,2018-06-22 10:32:00,NONE,33.7818433333333,-84.3791466666667,2018-06-28 00:00:00,2018-06-28 08:36:00,2775,5.14,5 days 22:04:04.000000000
VIRGINIA-HIGHLAND,33.782643333333304,-84.3544033333333,2018-06-14 00:00:00,2018-06-14 23:06:00,NONE,33.782296666666696,-84.35681833333331,2018-06-20 00:00:00,2018-06-20 13:38:00,1022,0.68,5 days 14:32:05.000000000
PIEDMONT PARK EAST,33.7862866666667,-84.3713533333333,2018-06-30 00:00:00,2018-06-30 12:36:00,NONE,33.786295,-84.3714366666667,2018-07-02 00:00:00,2018-07-02 13:21:00,2925,3.23,2 days 00:45:31.000000000
VIRTUAL HUB - GRANT PARK EAST,33.7399633333333,-84.3705316666667,2018-07-20 00:00:00,2018-07-20 09:24:00,NONE,33.737501666666695,-84.4090116666667,2018-07-23 00:00:00,2018-07-23 08:28:00,2635,13.05,2 days 23:03:46.000000000
WOODRUFF PARK,33.7558883333333,-84.3885316666667,2018-07-09 00:00:00,2018-07-09 13:18:00,NONE,33.7621316666667,-84.389845,2018-07-11 00:00:00,2018-07-11 08:40:00,2924,5.59,1 days 19:22:03.000000000
